event,file,A_baseline_mV,A_positive_excursion_mV,A_positive_time_ns,A_negative_excursion_mV,A_negative_time_ns,B_baseline_mV,B_positive_excursion_mV,B_positive_time_ns,B_negative_excursion_mV,B_negative_time_ns,C_baseline_mV,C_positive_excursion_mV,C_positive_time_ns,C_negative_excursion_mV,C_negative_time_ns,D_baseline_mV,D_positive_excursion_mV,D_positive_time_ns,D_negative_excursion_mV,D_negative_time_ns
1623,event_001623.csv,0.0,39.98524,-92.0,0.0,-100.0,0.0,39.52387,-88.0,-39.52387,-100.0,158.5568,79.20159999999998,20.0,-119.03293000000001,168.0,23.80659,23.806600000000003,0.0,-15.871058999999999,20.0
1624,event_001624.csv,0.0,39.98524,-84.0,-39.98524,-92.0,0.0,39.52387,-80.0,-39.52387,-100.0,118.8792,79.20150000000001,8.0,-79.35533,-12.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-40.0
1625,event_001625.csv,0.0,39.98524,-92.0,-39.98524,152.0,0.0,39.52387,4.0,-39.52387,-24.0,118.8792,277.43600000000004,124.0,-79.35533,-8.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-40.0
1626,event_001626.csv,0.0,39.98524,-100.0,-39.98524,-24.0,0.0,39.52387,-60.0,-39.52387,8.0,158.5568,39.5239,60.0,-79.35527,36.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-8.0
1627,event_001627.csv,0.0,39.98524,-84.0,0.0,-100.0,0.0,39.52387,-100.0,-39.52387,20.0,118.8792,79.20150000000001,8.0,-79.35533,44.0,27.77436,19.83883,0.0,-11.903300000000002,16.0
1628,event_001628.csv,0.0,39.98524,-80.0,-39.98524,-68.0,0.0,39.52387,-96.0,-39.52387,132.0,118.8792,277.43600000000004,-4.0,-39.67766999999999,-76.0,23.80659,31.742130000000003,12.0,-15.871058999999999,-28.0
1629,event_001629.csv,0.0,39.98524,-48.0,-39.98524,-20.0,0.0,39.52387,-80.0,-39.52387,-60.0,118.8792,79.20150000000001,144.0,-39.67766999999999,-88.0,23.80659,23.806600000000003,0.0,-15.871058999999999,20.0
1630,event_001630.csv,0.0,39.98524,-100.0,-39.98524,192.0,0.0,39.52387,-52.0,-39.52387,-80.0,118.8792,79.20150000000001,-72.0,-39.67766999999999,-100.0,23.80659,23.806600000000003,0.0,-7.93553,-96.0
1631,event_001631.csv,0.0,39.98524,-96.0,-39.98524,12.0,0.0,39.52387,-56.0,-39.52387,-36.0,118.8792,79.20150000000001,16.0,-39.67766999999999,-36.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-28.0
1632,event_001632.csv,0.0,39.98524,-92.0,-39.98524,-4.0,0.0,39.52387,24.0,-39.52387,-92.0,158.5568,39.5239,96.0,-79.35527,-88.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-52.0
1633,event_001633.csv,0.0,39.98524,-92.0,0.0,-100.0,0.0,39.52387,-88.0,-39.52387,-76.0,118.8792,79.20150000000001,-96.0,-39.67766999999999,-20.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-40.0
1634,event_001634.csv,0.0,39.98524,-80.0,-39.98524,-68.0,0.0,39.52387,-88.0,-39.52387,-92.0,118.8792,79.20150000000001,-28.0,-79.35533,-88.0,31.74213,15.871060000000003,0.0,-23.806599,72.0
1635,event_001635.csv,0.0,39.98524,-88.0,-39.98524,-44.0,0.0,39.52387,-96.0,-39.52387,-76.0,118.8792,79.20150000000001,-80.0,-39.67766999999999,-100.0,23.80659,23.806600000000003,0.0,-15.871058999999999,4.0
1636,event_001636.csv,0.0,1319.974,0.0,-39.98524,-84.0,0.0,1784.879,0.0,0.0,-100.0,118.8792,4881.1208,0.0,-39.67766999999999,-84.0,-15.87106,63.48425,0.0,-15.87107,-20.0
1637,event_001637.csv,0.0,39.98524,-96.0,-39.98524,188.0,0.0,39.52387,-96.0,-39.52387,-52.0,118.8792,39.67760000000001,-80.0,-39.67766999999999,-52.0,39.67766,7.93553,0.0,-7.9355300000000035,-100.0
1638,event_001638.csv,0.0,39.98524,-80.0,-39.98524,172.0,0.0,39.52387,-48.0,-39.52387,-28.0,118.8792,79.20150000000001,16.0,-39.67766999999999,-100.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-36.0
1639,event_001639.csv,0.0,39.98524,-96.0,0.0,-100.0,0.0,39.52387,8.0,-39.52387,92.0,118.8792,118.8792,-32.0,-118.8792,-8.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-24.0
1640,event_001640.csv,0.0,39.98524,-96.0,-39.98524,12.0,0.0,79.20153,-64.0,-39.52387,52.0,118.8792,79.20150000000001,148.0,-39.67766999999999,-100.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-52.0
